tarih,aciklama,gelir,gider,kategori
2024-01-03,Gıda tedariği,0,4786,Tedarik
2024-01-04,Doğal gaz,0,4915,Fatura
2024-01-06,Tur ve transfer geliri,8689,0,Satış
2024-01-07,Google Ads,0,2709,Pazarlama
2024-01-08,Online rezervasyon tahsilatı (Booking),6761,0,Satış
2024-01-08,Gıda tedariği,0,4838,Tedarik
2024-01-09,Restoran ve bar geliri,8527,0,Satış
2024-01-09,Online rezervasyon tahsilatı (Booking),7529,0,Satış
2024-01-10,Elektrik (yüksek tüketim),0,4546,Fatura
2024-01-11,İçecek toptan alımı,0,4037,Tedarik
2024-01-11,Otel binası kira,0,8373,Kira
2024-01-12,Transfer ve servis araç yakıt,0,1641,Lojistik
2024-01-13,Tur ve transfer geliri,6780,0,Satış
2024-01-14,Online rezervasyon tahsilatı (Booking),7830,0,Satış
2024-01-15,Booking komisyonu,0,2894,Pazarlama
2024-01-17,Lojistik ödemeleri,0,1498,Lojistik
2024-01-18,Tur ve transfer geliri,8633,0,Satış
2024-01-18,Tur ve transfer geliri,5957,0,Satış
2024-01-18,Çamaşır ve tekstil,0,4816,Tedarik
2024-01-18,Expedia komisyonu,0,2454,Pazarlama
2024-01-19,Tesis bakım ve onarım,0,1936,Üretim
2024-01-19,Klima bakımı,0,2321,Üretim
2024-01-21,Tur ve transfer geliri,7173,0,Satış
2024-01-22,Expedia komisyonu,0,2504,Pazarlama
2024-01-23,Tur ve transfer geliri,8699,0,Satış
2024-01-24,Mutfak personeli maaşları,0,34568,Maaş
2024-01-25,Toplantı ve etkinlik salonu geliri,6221,0,Satış
2024-01-26,Restoran ve bar geliri,6044,0,Satış
2024-01-26,Konaklama vergisi,0,4758,Vergi
2024-01-27,Spa ve havuz hizmet geliri,7438,0,Satış
2024-01-27,Çamaşır ve tekstil,0,4127,Tedarik
2024-01-27,Lojistik ödemeleri,0,1611,Lojistik
2024-01-28,Online rezervasyon tahsilatı (Booking),6993,0,Satış
2024-01-30,Tur ve transfer geliri,8206,0,Satış
2024-01-30,Tur ve transfer geliri,7848,0,Satış
2024-01-31,Spa ve havuz hizmet geliri,8051,0,Satış
2024-02-01,Tur ve transfer geliri,8201,0,Satış
2024-02-01,Hediyelik eşya satışı,3862,0,Diğer Gelir
2024-02-02,Restoran ve bar geliri,7361,0,Satış
2024-02-03,Toplantı ve etkinlik salonu geliri,7708,0,Satış
2024-02-03,Sponsor anlaşma geliri,3930,0,Diğer Gelir
2024-02-04,KDV,0,5799,Vergi
2024-02-06,Toplantı ve etkinlik salonu geliri,7490,0,Satış
2024-02-07,Temizlik kimyasal tedarik,0,4039,Tedarik
2024-02-07,Tur operatörü komisyonu,0,3303,Pazarlama
2024-02-10,Tur ve transfer geliri,5595,0,Satış
2024-02-10,Yönetici kadro maaşları,0,28048,Maaş
2024-02-10,Gıda tedariği,0,4968,Tedarik
2024-02-10,Tur operatörü komisyonu,0,3865,Pazarlama
2024-02-10,Müşteri sorumluluk sigortası,0,4238,Sigorta
2024-02-11,Transfer ve servis araç yakıt,0,2540,Lojistik
