tarih,aciklama,gelir,gider,kategori
2024-01-01,Ramazan iftar geliri,11609,0,Satış
2024-01-01,Yemeksepeti komisyon iadesi,7263,0,Diğer Gelir
2024-01-01,Şef ve mutfak personeli maaşları,0,35005,Maaş
2024-01-01,Şef ve mutfak personeli maaşları,0,41040,Maaş
2024-01-01,Temizlik malzemeleri,0,4930,Sarf
2024-01-02,İşyeri kira ödemesi,0,29909,Kira
2024-01-03,Hafta sonu yoğunluk,12455,0,Satış
2024-01-03,Geçici vergi taksiti,0,13999,Vergi
2024-01-04,Öğle yemeği servisi,15070,0,Satış
2024-01-04,Ramazan iftar geliri,10775,0,Satış
2024-01-04,Kuru gıda toptan alım,0,10727,Tedarik
2024-01-05,Su faturası,0,5503,Fatura
2024-01-05,İnternet aboneliği,0,6030,Fatura
2024-01-07,Bayram menüsü satışı,12819,0,Satış
2024-01-08,Bayram menüsü satışı,10779,0,Satış
2024-01-08,Yılbaşı menü geliri,11497,0,Satış
2024-01-09,Catering siparişi,11182,0,Satış
2024-01-09,İnternet aboneliği,0,5768,Fatura
2024-01-10,Öğle yemeği servisi,14811,0,Satış
2024-01-10,Akşam servisi geliri,14380,0,Satış
2024-01-11,İçecek toptan satın alma,0,12892,Tedarik
2024-01-15,Catering siparişi,14657,0,Satış
2024-01-16,İş yemeği rezervasyonu,12008,0,Satış
2024-01-16,Baharat ve sos tedarik,0,12500,Tedarik
2024-01-17,Deniz ürünleri tedarik,0,11229,Tedarik
2024-01-17,Google Maps öne çıkarma,0,8976,Pazarlama
2024-01-18,Online sipariş geliri,14709,0,Satış
2024-01-18,Akşam servisi geliri,12327,0,Satış
2024-01-18,Sponsorluk geliri,7967,0,Diğer Gelir
2024-01-18,Doğal gaz faturası,0,6005,Fatura
2024-01-19,Tek kullanımlık ambalaj,0,4698,Sarf
2024-01-20,Ramazan iftar geliri,12204,0,Satış
2024-01-21,Catering siparişi,10680,0,Satış
2024-01-21,Servis ve mutfak ekipmanı,0,4573,Sarf
2024-01-22,Bayram menüsü satışı,14778,0,Satış
2024-01-22,Akşam servisi geliri,11758,0,Satış
2024-01-22,Doğum günü organizasyonu,11126,0,Satış
2024-01-23,Baharat ve sos tedarik,0,11988,Tedarik
2024-01-24,Instagram reklam harcaması,0,6940,Pazarlama
2024-01-25,Hafta sonu yoğunluk,14975,0,Satış
2024-01-25,Mekan kiralama geliri,7094,0,Diğer Gelir
2024-01-27,Süt ve mandıra ürünleri,0,11415,Tedarik
2024-01-28,Öğle yemeği servisi,11524,0,Satış
2024-01-28,Deniz ürünleri tedarik,0,10884,Tedarik
2024-01-30,Kuru gıda toptan alım,0,11941,Tedarik
2024-01-30,Süt ve mandıra ürünleri,0,12130,Tedarik
2024-02-01,Bayram menüsü satışı,14405,0,Satış
2024-02-01,Catering siparişi,18457,0,Satış
2024-02-02,İnternet aboneliği,0,6126,Fatura
2024-02-03,Temizlik malzemeleri,0,15502,Sarf
2024-02-04,İnternet aboneliği,0,6219,Fatura
2024-02-06,Yılbaşı menü geliri,19302,0,Satış
2024-02-06,Deniz ürünleri tedarik,0,13785,Tedarik
2024-02-10,Ramazan iftar geliri,19824,0,Satış
2024-02-10,Sponsorluk geliri,22419,0,Diğer Gelir
2024-02-11,Hafta sonu yoğunluk,16263,0,Satış
2024-02-12,Doğal gaz faturası,0,5257,Fatura
2024-02-13,Doğum günü organizasyonu,20798,0,Satış
2024-02-14,Baharat ve sos tedarik,0,13551,Tedarik
2024-02-15,Doğum günü organizasyonu,20015,0,Satış
2024-02-15,Bayram menüsü satışı,21332,0,Satış
2024-02-16,Yılbaşı menü geliri,20575,0,Satış
2024-02-16,Bayram menüsü satışı,18147,0,Satış
2024-02-18,Doğum günü organizasyonu,19964,0,Satış
2024-02-18,Doğum günü organizasyonu,19368,0,Satış
2024-02-19,Şef ve mutfak personeli maaşları,0,69177,Maaş
2024-02-20,İçecek toptan satın alma,0,14799,Tedarik
2024-02-21,Öğle yemeği servisi,20130,0,Satış
2024-02-21,Baharat ve sos tedarik,0,15447,Tedarik
2024-02-22,Sebze meyve toptan,0,12220,Tedarik
2024-02-23,Online sipariş geliri,20697,0,Satış
2024-02-23,İş yemeği rezervasyonu,18954,0,Satış
2024-02-23,Et ve tavuk alımı,0,14829,Tedarik
2024-02-23,Getir komisyonu,0,17651,Pazarlama
2024-02-25,Et ve tavuk alımı,0,15097,Tedarik
2024-02-25,Deniz ürünleri tedarik,0,15383,Tedarik
2024-02-25,İşyeri kira ödemesi,0,28333,Kira
2024-02-25,İnternet aboneliği,0,6270,Fatura
2024-02-26,KDV ödemesi,0,16234,Vergi
2024-02-28,Online sipariş geliri,21290,0,Satış
2024-03-01,Öğle yemeği servisi,12961,0,Satış
2024-03-02,Yılbaşı menü geliri,11403,0,Satış
2024-03-02,Yılbaşı menü geliri,15575,0,Satış
2024-03-02,Akşam servisi geliri,15526,0,Satış
2024-03-02,Baharat ve sos tedarik,0,14229,Tedarik
2024-03-05,Servis ve mutfak ekipmanı,0,5261,Sarf
2024-03-07,Ramazan iftar geliri,15722,0,Satış
2024-03-07,İnternet aboneliği,0,9493,Fatura
2024-03-08,Doğum günü organizasyonu,13591,0,Satış
2024-03-09,Sebze meyve toptan,0,16778,Tedarik
2024-03-09,Baharat ve sos tedarik,0,16732,Tedarik
2024-03-09,Tek kullanımlık ambalaj,0,5418,Sarf
2024-03-10,Et ve tavuk alımı,0,13823,Tedarik
2024-03-10,Elektrik faturası,0,8845,Fatura
2024-03-11,Catering siparişi,15372,0,Satış
2024-03-11,Bayram menüsü satışı,14514,0,Satış
2024-03-12,Deniz ürünleri tedarik,0,15954,Tedarik
2024-03-12,Bulaşıkçı ve yardımcı personel,0,41273,Maaş
2024-03-13,Akşam servisi geliri,13413,0,Satış
2024-03-16,Yemeksepeti komisyon iadesi,32488,0,Diğer Gelir
2024-03-16,Süt ve mandıra ürünleri,0,16059,Tedarik
2024-03-18,Öğle yemeği servisi,15756,0,Satış
2024-03-18,Temizlik malzemeleri,0,6111,Sarf
2024-03-19,Hafta sonu yoğunluk,15475,0,Satış
2024-03-19,Bulaşıkçı ve yardımcı personel,0,49121,Maaş
2024-03-20,Akşam servisi geliri,12298,0,Satış
2024-03-20,Doğum günü organizasyonu,12571,0,Satış
2024-03-20,Yemeksepeti komisyonu,0,18710,Pazarlama
2024-03-21,Catering siparişi,14469,0,Satış
2024-03-21,Kuru gıda toptan alım,0,16139,Tedarik
2024-03-23,Yılbaşı menü geliri,12078,0,Satış
2024-03-23,İşyeri kira ödemesi,0,30999,Kira
2024-03-24,Bayram menüsü satışı,16112,0,Satış
2024-03-24,Catering siparişi,15228,0,Satış
2024-03-26,Akşam servisi geliri,11974,0,Satış
2024-03-27,Ramazan iftar geliri,14020,0,Satış
2024-03-27,Hafta sonu yoğunluk,11603,0,Satış
2024-03-27,İş yemeği rezervasyonu,12426,0,Satış
2024-03-28,Kahvaltı servisi,15620,0,Satış
2024-03-28,Stopaj vergi ödemesi,0,16785,Vergi
2024-03-30,Öğle yemeği servisi,16371,0,Satış
2024-03-30,Sebze meyve toptan,0,13909,Tedarik
2024-03-31,Bayram menüsü satışı,14949,0,Satış
2024-03-31,İnternet aboneliği,0,8410,Fatura
2024-04-01,Mekan kiralama geliri,27145,0,Diğer Gelir
2024-04-02,Hafta sonu yoğunluk,21628,0,Satış
2024-04-02,Bulaşıkçı ve yardımcı personel,0,52135,Maaş
2024-04-03,Baharat ve sos tedarik,0,25615,Tedarik
2024-04-04,Kahvaltı servisi,18807,0,Satış
2024-04-04,Aylık dükkân kirası,0,39358,Kira
2024-04-05,İnternet aboneliği,0,8871,Fatura
2024-04-06,İçecek toptan satın alma,0,23504,Tedarik
2024-04-07,Öğle yemeği servisi,22368,0,Satış
2024-04-08,Hafta sonu yoğunluk,19866,0,Satış
2024-04-10,Doğum günü organizasyonu,20742,0,Satış
2024-04-10,Kuru gıda toptan alım,0,23534,Tedarik
2024-04-11,Google Maps öne çıkarma,0,18951,Pazarlama
2024-04-12,Garson ve servis maaşları,0,53460,Maaş
2024-04-14,Doğum günü organizasyonu,17587,0,Satış
2024-04-14,Öğle yemeği servisi,20094,0,Satış
2024-04-15,Doğum günü organizasyonu,25960,0,Satış
2024-04-15,Yılbaşı menü geliri,21464,0,Satış
2024-04-15,Sebze meyve toptan,0,25573,Tedarik
2024-04-17,Elektrik faturası,0,9344,Fatura
2024-04-20,Kahvaltı servisi,25719,0,Satış
2024-04-21,Kahvaltı servisi,25890,0,Satış
2024-04-22,Deniz ürünleri tedarik,0,26644,Tedarik
2024-04-22,Servis ve mutfak ekipmanı,0,10099,Sarf
2024-04-24,Hafta sonu yoğunluk,25273,0,Satış
2024-04-24,Su faturası,0,10399,Fatura
2024-04-25,Catering siparişi,22986,0,Satış
2024-04-26,Kahvaltı servisi,19411,0,Satış
2024-04-26,Ramazan iftar geliri,24539,0,Satış
2024-04-28,Stopaj vergi ödemesi,0,15735,Vergi
2024-04-28,Temizlik malzemeleri,0,9091,Sarf
2024-04-29,Bayram menüsü satışı,18075,0,Satış
2024-05-02,KDV ödemesi,0,20028,Vergi
2024-05-04,Hafta sonu yoğunluk,14797,0,Satış
2024-05-04,Bulaşıkçı ve yardımcı personel,0,51383,Maaş
2024-05-04,İnternet aboneliği,0,13650,Fatura
2024-05-06,Catering siparişi,17151,0,Satış
2024-05-06,Online sipariş geliri,15215,0,Satış
2024-05-07,Catering siparişi,16307,0,Satış
2024-05-07,Öğle yemeği servisi,16633,0,Satış
2024-05-07,İçecek toptan satın alma,0,16010,Tedarik
2024-05-08,İşyeri kira ödemesi,0,33027,Kira
2024-05-09,İş yemeği rezervasyonu,18825,0,Satış
2024-05-09,Catering siparişi,15808,0,Satış
2024-05-10,İçecek toptan satın alma,0,18948,Tedarik
2024-05-13,Doğum günü organizasyonu,16129,0,Satış
2024-05-14,Mekan kiralama geliri,16818,0,Diğer Gelir
2024-05-14,Temizlik malzemeleri,0,18383,Sarf
2024-05-15,Bayram menüsü satışı,18240,0,Satış
2024-05-15,Sponsorluk geliri,15809,0,Diğer Gelir
2024-05-17,Yılbaşı menü geliri,13520,0,Satış
2024-05-17,Catering siparişi,16174,0,Satış
2024-05-17,Online sipariş geliri,18569,0,Satış
2024-05-20,Hafta sonu yoğunluk,15171,0,Satış
2024-05-20,Kahvaltı servisi,16302,0,Satış
2024-05-20,Influencer iş birliği,0,24685,Pazarlama
2024-05-21,Kahvaltı servisi,15635,0,Satış
2024-05-21,Kahvaltı servisi,12746,0,Satış
2024-05-21,İnternet aboneliği,0,15514,Fatura
2024-05-22,Kuru gıda toptan alım,0,18214,Tedarik
2024-05-23,Kuru gıda toptan alım,0,20323,Tedarik
2024-05-23,Deniz ürünleri tedarik,0,17291,Tedarik
2024-05-23,Bulaşıkçı ve yardımcı personel,0,46012,Maaş
2024-05-24,Ramazan iftar geliri,14055,0,Satış
2024-05-25,Bayram menüsü satışı,12836,0,Satış
2024-05-28,Hafta sonu yoğunluk,13884,0,Satış
2024-05-28,Hafta sonu yoğunluk,17799,0,Satış
2024-05-28,Kuru gıda toptan alım,0,20496,Tedarik
2024-05-29,Yılbaşı menü geliri,14519,0,Satış
2024-05-30,Doğum günü organizasyonu,14958,0,Satış
2024-05-30,İçecek toptan satın alma,0,20889,Tedarik
2024-05-30,Süt ve mandıra ürünleri,0,20061,Tedarik
2024-05-31,Öğle yemeği servisi,16311,0,Satış
2024-05-31,Bayram menüsü satışı,13226,0,Satış
2024-06-01,İş yemeği rezervasyonu,21641,0,Satış
2024-06-02,Akşam servisi geliri,19514,0,Satış
2024-06-02,Sebze meyve toptan,0,23466,Tedarik
2024-06-04,Baharat ve sos tedarik,0,23610,Tedarik
2024-06-04,Su faturası,0,16982,Fatura
2024-06-06,Bayram menüsü satışı,23489,0,Satış
2024-06-06,Yılbaşı menü geliri,23280,0,Satış
2024-06-06,Bulaşıkçı ve yardımcı personel,0,106661,Maaş
2024-06-06,Tek kullanımlık ambalaj,0,7106,Sarf
2024-06-07,Bayram menüsü satışı,23662,0,Satış
2024-06-07,Kahvaltı servisi,18533,0,Satış
2024-06-07,Akşam servisi geliri,22461,0,Satış
2024-06-07,Online sipariş geliri,18421,0,Satış
2024-06-08,Instagram reklam harcaması,0,6911,Pazarlama
2024-06-09,Akşam servisi geliri,18823,0,Satış
2024-06-09,Süt ve mandıra ürünleri,0,28445,Tedarik
2024-06-10,Öğle yemeği servisi,18429,0,Satış
2024-06-10,Aylık dükkân kirası,0,34030,Kira
2024-06-10,Servis ve mutfak ekipmanı,0,7541,Sarf
2024-06-12,Hafta sonu yoğunluk,20118,0,Satış
2024-06-14,Yemeksepeti komisyon iadesi,18319,0,Diğer Gelir
2024-06-15,Akşam servisi geliri,22973,0,Satış
2024-06-15,Elektrik faturası,0,16148,Fatura
2024-06-16,İş yemeği rezervasyonu,23185,0,Satış
2024-06-20,Catering siparişi,21356,0,Satış
2024-06-21,Kahvaltı servisi,18530,0,Satış
2024-06-22,Sebze meyve toptan,0,26470,Tedarik
2024-06-22,Geçici vergi taksiti,0,18453,Vergi
2024-06-23,Online sipariş geliri,20170,0,Satış
2024-06-23,İçecek toptan satın alma,0,23279,Tedarik
2024-06-24,İçecek toptan satın alma,0,21570,Tedarik
2024-06-25,Kahvaltı servisi,22156,0,Satış
2024-06-27,Kahvaltı servisi,17554,0,Satış
2024-06-28,Bayram menüsü satışı,20685,0,Satış
2024-06-28,Getir komisyonu,0,8057,Pazarlama
2024-06-29,Mekan kiralama geliri,19055,0,Diğer Gelir
2024-06-30,Kahvaltı servisi,19828,0,Satış
2024-06-30,Instagram reklam harcaması,0,9023,Pazarlama
2024-06-30,Tek kullanımlık ambalaj,0,5890,Sarf
2024-07-02,Öğle yemeği servisi,16499,0,Satış
2024-07-02,İş yemeği rezervasyonu,14783,0,Satış
2024-07-03,Bulaşıkçı ve yardımcı personel,0,62906,Maaş
2024-07-04,Bayram menüsü satışı,15301,0,Satış
2024-07-05,Online sipariş geliri,17530,0,Satış
2024-07-05,Kuru gıda toptan alım,0,19755,Tedarik
2024-07-06,Bayram menüsü satışı,14083,0,Satış
2024-07-06,Baharat ve sos tedarik,0,17198,Tedarik
2024-07-06,Instagram reklam harcaması,0,12182,Pazarlama
2024-07-07,Catering siparişi,15243,0,Satış
2024-07-07,Bayram menüsü satışı,19548,0,Satış
2024-07-08,Bayram menüsü satışı,15120,0,Satış
2024-07-08,Hafta sonu yoğunluk,16912,0,Satış
2024-07-08,Online sipariş geliri,15121,0,Satış
2024-07-10,Yılbaşı menü geliri,16767,0,Satış
2024-07-10,Doğal gaz faturası,0,8019,Fatura
2024-07-11,Baharat ve sos tedarik,0,19453,Tedarik
2024-07-11,Kuru gıda toptan alım,0,14984,Tedarik
2024-07-12,İş yemeği rezervasyonu,17436,0,Satış
2024-07-13,Hafta sonu yoğunluk,16473,0,Satış
2024-07-15,Hafta sonu yoğunluk,17368,0,Satış
2024-07-15,Ramazan iftar geliri,17914,0,Satış
2024-07-15,Sponsorluk geliri,42422,0,Diğer Gelir
2024-07-15,İnternet aboneliği,0,9012,Fatura
2024-07-15,Temizlik malzemeleri,0,20578,Sarf
2024-07-16,Bayram menüsü satışı,17432,0,Satış
2024-07-17,Sebze meyve toptan,0,15442,Tedarik
2024-07-18,Ramazan iftar geliri,13809,0,Satış
2024-07-19,Online sipariş geliri,15106,0,Satış
2024-07-19,Yemeksepeti komisyonu,0,12398,Pazarlama
2024-07-20,İş yemeği rezervasyonu,16358,0,Satış
2024-07-22,İşyeri kira ödemesi,0,42175,Kira
2024-07-24,Doğal gaz faturası,0,8952,Fatura
2024-07-25,Online sipariş geliri,14386,0,Satış
2024-07-27,Yılbaşı menü geliri,16871,0,Satış
2024-07-27,Hafta sonu yoğunluk,18349,0,Satış
2024-07-27,Kahvaltı servisi,13864,0,Satış
2024-07-27,Et ve tavuk alımı,0,15331,Tedarik
2024-07-27,Geçici vergi taksiti,0,18035,Vergi
2024-07-28,Süt ve mandıra ürünleri,0,19691,Tedarik
2024-07-28,Garson ve servis maaşları,0,62731,Maaş
2024-07-29,Akşam servisi geliri,15556,0,Satış
2024-07-29,Sebze meyve toptan,0,17576,Tedarik
2024-07-29,Su faturası,0,8761,Fatura
2024-07-31,Süt ve mandıra ürünleri,0,18163,Tedarik
2024-08-01,Öğle yemeği servisi,18571,0,Satış
2024-08-01,Doğum günü organizasyonu,16838,0,Satış
2024-08-01,Sebze meyve toptan,0,22037,Tedarik
2024-08-01,Baharat ve sos tedarik,0,17960,Tedarik
2024-08-02,Aylık dükkân kirası,0,36923,Kira
2024-08-02,Elektrik faturası,0,10142,Fatura
2024-08-03,Ramazan iftar geliri,14871,0,Satış
2024-08-03,Tek kullanımlık ambalaj,0,6292,Sarf
2024-08-04,Deniz ürünleri tedarik,0,18397,Tedarik
2024-08-06,Baharat ve sos tedarik,0,17891,Tedarik
2024-08-07,Kahvaltı servisi,16292,0,Satış
2024-08-07,Şef ve mutfak personeli maaşları,0,101162,Maaş
2024-08-08,Doğal gaz faturası,0,10749,Fatura
2024-08-09,Yemeksepeti komisyon iadesi,14580,0,Diğer Gelir
2024-08-11,Doğum günü organizasyonu,14175,0,Satış
2024-08-11,Mekan kiralama geliri,16436,0,Diğer Gelir
2024-08-11,Elektrik faturası,0,11097,Fatura
2024-08-11,KDV ödemesi,0,19790,Vergi
2024-08-13,İş yemeği rezervasyonu,15426,0,Satış
2024-08-13,Öğle yemeği servisi,18533,0,Satış
2024-08-15,Doğum günü organizasyonu,12979,0,Satış
2024-08-15,Deniz ürünleri tedarik,0,19656,Tedarik
2024-08-16,Hafta sonu yoğunluk,17983,0,Satış
2024-08-17,Yılbaşı menü geliri,13930,0,Satış
2024-08-17,Akşam servisi geliri,16197,0,Satış
2024-08-18,Tek kullanımlık ambalaj,0,6420,Sarf
2024-08-19,Öğle yemeği servisi,18506,0,Satış
