tarih,aciklama,gelir,gider,kategori
2024-01-03,Dikim makinesi bakım,0,24983,Üretim
2024-01-07,"Aksesuar (fermuar, düğme) tedarik",0,50342,Tedarik
2024-01-07,Kargo gönderim,0,19879,Lojistik
2024-01-08,Toptan yazlık koleksiyon satış,93494,0,Satış
2024-01-08,Kalite kontrol maaşı,0,75233,Maaş
2024-01-14,Kışlık sezon sipariş tahsilatı,70665,0,Satış
2024-01-16,Doğal gaz,0,6403,Fatura
2024-01-17,"Aksesuar (fermuar, düğme) tedarik",0,43271,Tedarik
2024-01-19,Dikim makinesi bakım,0,24350,Üretim
2024-01-21,Kumaş toptan alımı,0,48616,Tedarik
2024-01-22,İhracat sipariş tahsilatı,83221,0,Satış
2024-01-22,"Aksesuar (fermuar, düğme) tedarik",0,40003,Tedarik
2024-01-22,Kalite kontrol maaşı,0,60754,Maaş
2024-01-24,Su,0,6972,Fatura
2024-01-25,Markaya fason üretim ödemesi,80334,0,Satış
2024-01-25,İhracat sipariş tahsilatı,73728,0,Satış
2024-01-26,Atölye kira,0,23462,Kira
2024-01-26,Doğal gaz,0,6376,Fatura
2024-01-27,KDV,0,12539,Vergi
2024-01-28,Kışlık sezon sipariş tahsilatı,76854,0,Satış
2024-02-01,Stopaj,0,15007,Vergi
2024-02-02,Atölye kira,0,29627,Kira
2024-02-04,İhracat sipariş tahsilatı,88584,0,Satış
2024-02-04,Etiket ve paketleme,0,32225,Üretim
2024-02-05,Su,0,7588,Fatura
2024-02-06,Kumaş toptan alımı,0,24231,Tedarik
2024-02-06,Ütü ve presleme,0,28740,Üretim
2024-02-08,Mağaza zinciri toptan,73285,0,Satış
2024-02-09,Toptan yazlık koleksiyon satış,78954,0,Satış
2024-02-09,Kargo gönderim,0,6056,Lojistik
2024-02-11,Kumaş toptan alımı,0,26840,Tedarik
2024-02-13,Su,0,7609,Fatura
2024-02-15,Kumaş toptan alımı,0,23845,Tedarik
2024-02-16,Su,0,7982,Fatura
2024-02-18,Mağaza zinciri toptan,67325,0,Satış
2024-02-18,Boyalı kumaş alımı,0,31401,Tedarik
2024-02-18,Kumaş toptan alımı,0,31780,Tedarik
2024-02-19,Nakliye ödemesi,0,7166,Lojistik
2024-02-20,Toptan yazlık koleksiyon satış,82608,0,Satış
2024-02-23,İplik ve dokuma malzeme,0,29263,Tedarik
2024-02-23,Boyalı kumaş alımı,0,30315,Tedarik
2024-02-24,Atölye işçi maaşları,0,143193,Maaş
2024-02-26,İhracat sipariş tahsilatı,69229,0,Satış
2024-02-27,Toptan yazlık koleksiyon satış,89855,0,Satış
2024-02-29,Kargo gönderim,0,6229,Lojistik
2024-03-01,İhracat sipariş tahsilatı,121029,0,Satış
2024-03-02,Boyalı kumaş alımı,0,48191,Tedarik
2024-03-02,İğne ve sarf malzeme,0,18182,Üretim
2024-03-02,Kargo gönderim,0,24038,Lojistik
2024-03-03,İhracat sipariş tahsilatı,105489,0,Satış
2024-03-04,Su,0,8393,Fatura
2024-03-05,İplik ve dokuma malzeme,0,42741,Tedarik
2024-03-08,Etiket ve paketleme,0,15304,Üretim
2024-03-09,Kışlık sezon sipariş tahsilatı,103374,0,Satış
2024-03-09,Ütü ve presleme,0,15555,Üretim
2024-03-12,Atölye kira,0,36684,Kira
2024-03-13,Doğal gaz,0,10269,Fatura
2024-03-15,Etiket ve paketleme,0,19560,Üretim
2024-03-16,Toptan yazlık koleksiyon satış,125690,0,Satış
2024-03-18,Markaya fason üretim ödemesi,103258,0,Satış
2024-03-21,Elektrik,0,8710,Fatura
2024-03-22,Kumaş hurda satışı,28755,0,Diğer Gelir
2024-03-23,KDV,0,14817,Vergi
2024-03-26,Kumaş toptan alımı,0,47464,Tedarik
2024-03-27,Toptan yazlık koleksiyon satış,103130,0,Satış
2024-03-28,"Aksesuar (fermuar, düğme) tedarik",0,44067,Tedarik
2024-03-29,İplik ve dokuma malzeme,0,41846,Tedarik
2024-03-29,Kalite kontrol maaşı,0,146104,Maaş
2024-04-01,Kışlık sezon sipariş tahsilatı,93204,0,Satış
2024-04-01,Markaya fason üretim ödemesi,102274,0,Satış
2024-04-02,Elektrik,0,15897,Fatura
2024-04-02,Nakliye ödemesi,0,13202,Lojistik
2024-04-04,Modelist ve tasarımcı maaşı,0,97811,Maaş
2024-04-05,İhracat sipariş tahsilatı,115071,0,Satış
2024-04-05,Kumaş toptan alımı,0,44803,Tedarik
2024-04-07,Kumaş toptan alımı,0,48220,Tedarik
2024-04-08,Markaya fason üretim ödemesi,114749,0,Satış
2024-04-11,Modelist ve tasarımcı maaşı,0,94957,Maaş
2024-04-12,Stopaj,0,23429,Vergi
2024-04-14,Toptan yazlık koleksiyon satış,114297,0,Satış
2024-04-15,Dikim makinesi bakım,0,43382,Üretim
2024-04-17,Toptan yazlık koleksiyon satış,110929,0,Satış
2024-04-18,Kumaş hurda satışı,27833,0,Diğer Gelir
2024-04-18,Kargo gönderim,0,14692,Lojistik
2024-04-19,Kumaş toptan alımı,0,44087,Tedarik
2024-04-20,İplik ve dokuma malzeme,0,48086,Tedarik
2024-04-21,İplik ve dokuma malzeme,0,48065,Tedarik
2024-04-21,Atölye kira,0,41214,Kira
2024-04-22,İhracat sipariş tahsilatı,87607,0,Satış
2024-04-23,Toptan yazlık koleksiyon satış,102321,0,Satış
2024-04-24,Su,0,18149,Fatura
2024-04-28,"Aksesuar (fermuar, düğme) tedarik",0,41963,Tedarik
2024-04-30,Dikim makinesi bakım,0,47026,Üretim
2024-05-01,Kumaş hurda satışı,17480,0,Diğer Gelir
2024-05-04,Kumaş toptan alımı,0,50885,Tedarik
2024-05-06,Etiket ve paketleme,0,50680,Üretim
2024-05-10,Kumaş toptan alımı,0,45851,Tedarik
2024-05-11,Kargo gönderim,0,16763,Lojistik
2024-05-13,Mağaza zinciri toptan,218886,0,Satış
2024-05-14,Markaya fason üretim ödemesi,244754,0,Satış
2024-05-14,İhracat sipariş tahsilatı,202692,0,Satış
2024-05-16,Su,0,21939,Fatura
2024-05-19,Atölye işçi maaşları,0,254948,Maaş
2024-05-20,Elektrik,0,20567,Fatura
2024-05-21,Kumaş hurda satışı,15902,0,Diğer Gelir
2024-05-23,Kumaş toptan alımı,0,58158,Tedarik
2024-05-23,"Aksesuar (fermuar, düğme) tedarik",0,58582,Tedarik
2024-05-24,Atölye kira,0,42630,Kira
2024-05-25,Etiket ve paketleme,0,49636,Üretim
2024-05-26,Toptan yazlık koleksiyon satış,201944,0,Satış
2024-05-29,Stopaj,0,25740,Vergi
2024-05-30,Kumaş toptan alımı,0,51622,Tedarik
2024-05-31,Boyalı kumaş alımı,0,46713,Tedarik
2024-05-31,Nakliye ödemesi,0,15320,Lojistik
2024-06-01,Elektrik,0,14132,Fatura
2024-06-01,Stopaj,0,17168,Vergi
2024-06-03,Atölye işçi maaşları,0,105123,Maaş
2024-06-06,"Aksesuar (fermuar, düğme) tedarik",0,56499,Tedarik
2024-06-07,Su,0,13913,Fatura
2024-06-11,Boyalı kumaş alımı,0,62956,Tedarik
2024-06-12,Etiket ve paketleme,0,26884,Üretim
2024-06-15,Kumaş toptan alımı,0,57730,Tedarik
2024-06-17,Toptan yazlık koleksiyon satış,147775,0,Satış
2024-06-18,Showroom kirası,0,39794,Kira
2024-06-19,İğne ve sarf malzeme,0,22515,Üretim
2024-06-23,Kargo gönderim,0,8904,Lojistik
2024-06-23,Nakliye ödemesi,0,7011,Lojistik
2024-06-24,Kargo gönderim,0,7807,Lojistik
2024-06-25,Markaya fason üretim ödemesi,201742,0,Satış
2024-06-25,"Aksesuar (fermuar, düğme) tedarik",0,52178,Tedarik
2024-06-26,Markaya fason üretim ödemesi,143677,0,Satış
2024-06-26,Ütü ve presleme,0,21848,Üretim
2024-06-27,Kalite kontrol maaşı,0,82348,Maaş
2024-06-28,Toptan yazlık koleksiyon satış,164606,0,Satış
2024-07-01,Kalite kontrol maaşı,0,74266,Maaş
2024-07-03,Kumaş hurda satışı,23583,0,Diğer Gelir
2024-07-06,Kışlık sezon sipariş tahsilatı,75898,0,Satış
2024-07-06,Mağaza zinciri toptan,92901,0,Satış
2024-07-06,Stopaj,0,12290,Vergi
2024-07-07,Kargo gönderim,0,19038,Lojistik
2024-07-10,Mağaza zinciri toptan,95602,0,Satış
2024-07-10,Ütü ve presleme,0,28864,Üretim
2024-07-11,Boyalı kumaş alımı,0,36562,Tedarik
2024-07-13,Doğal gaz,0,10539,Fatura
2024-07-15,Etiket ve paketleme,0,27890,Üretim
2024-07-19,Kışlık sezon sipariş tahsilatı,88049,0,Satış
2024-07-19,Kalite kontrol maaşı,0,65514,Maaş
2024-07-21,Markaya fason üretim ödemesi,83221,0,Satış
2024-07-21,Boyalı kumaş alımı,0,40364,Tedarik
2024-07-24,İplik ve dokuma malzeme,0,32441,Tedarik
2024-07-25,Kışlık sezon sipariş tahsilatı,70541,0,Satış
2024-07-25,Boyalı kumaş alımı,0,37062,Tedarik
2024-07-29,Showroom kirası,0,27359,Kira
2024-07-30,Boyalı kumaş alımı,0,35914,Tedarik
2024-07-30,Su,0,9927,Fatura
2024-08-01,Kumaş hurda satışı,12148,0,Diğer Gelir
2024-08-01,Etiket ve paketleme,0,12393,Üretim
2024-08-02,İğne ve sarf malzeme,0,11998,Üretim
2024-08-02,Etiket ve paketleme,0,10766,Üretim
2024-08-03,Doğal gaz,0,8947,Fatura
2024-08-04,Kargo gönderim,0,20619,Lojistik
2024-08-09,Kumaş toptan alımı,0,46859,Tedarik
2024-08-11,Atölye kira,0,31374,Kira
2024-08-13,Toptan yazlık koleksiyon satış,138342,0,Satış
2024-08-15,Etiket ve paketleme,0,13157,Üretim
2024-08-17,Doğal gaz,0,9684,Fatura
2024-08-19,Dikim makinesi bakım,0,14088,Üretim
2024-08-20,"Aksesuar (fermuar, düğme) tedarik",0,54316,Tedarik
2024-08-20,Stopaj,0,18129,Vergi
2024-08-21,Kumaş hurda satışı,14151,0,Diğer Gelir
2024-08-22,"Aksesuar (fermuar, düğme) tedarik",0,55306,Tedarik
2024-08-23,Kışlık sezon sipariş tahsilatı,156919,0,Satış
2024-08-25,Mağaza zinciri toptan,128178,0,Satış
2024-08-26,Doğal gaz,0,9337,Fatura
2024-08-28,Toptan yazlık koleksiyon satış,130689,0,Satış
2024-08-29,"Aksesuar (fermuar, düğme) tedarik",0,50464,Tedarik
2024-08-30,Atölye işçi maaşları,0,152829,Maaş
2024-09-01,Dikim makinesi bakım,0,27669,Üretim
2024-09-02,Markaya fason üretim ödemesi,203675,0,Satış
2024-09-02,Kumaş toptan alımı,0,38288,Tedarik
2024-09-03,Kumaş toptan alımı,0,49293,Tedarik
2024-09-04,Toptan yazlık koleksiyon satış,269238,0,Satış
2024-09-05,"Aksesuar (fermuar, düğme) tedarik",0,41649,Tedarik
2024-09-05,Modelist ve tasarımcı maaşı,0,264576,Maaş
2024-09-05,Doğal gaz,0,18412,Fatura
2024-09-05,Kargo gönderim,0,17747,Lojistik
