tarih,aciklama,gelir,gider,kategori
2024-01-01,Kurumsal müşteri ödemesi,14260,0,Satış
2024-01-02,LinkedIn Ads,0,32217,Pazarlama
2024-01-04,Coworking ofis kirası,0,23099,Kira
2024-01-06,Telefon hatları,0,6788,Fatura
2024-01-07,SaaS aylık abonelik (Pro paket),15954,0,Satış
2024-01-07,Geçici vergi taksiti,0,10885,Vergi
2024-01-18,SaaS aylık abonelik (Pro paket),18601,0,Satış
2024-01-18,KOSGEB Ar-Ge hibe,5992,0,Devlet Desteği
2024-01-19,Datadog monitoring,0,17009,Teknoloji
2024-01-24,Enterprise lisans satışı,14293,0,Satış
2024-01-25,Vercel + GitHub abonelik,0,18484,Teknoloji
2024-01-26,Yazılım geliştirici maaşları (x5),0,143307,Maaş
2024-01-28,SaaS aylık abonelik (Pro paket),16556,0,Satış
2024-01-31,İnternet aboneliği,0,6769,Fatura
2024-02-01,Mixpanel analytics,0,14904,Teknoloji
2024-02-02,Ofis elektrik,0,6495,Fatura
2024-02-08,Hukuk danışmanlık,0,9218,Danışmanlık
2024-02-10,PR ajans aylık ödeme,0,16620,Pazarlama
2024-02-14,Enterprise lisans satışı,18573,0,Satış
2024-02-14,İnternet aboneliği,0,7063,Fatura
2024-02-16,Coworking ofis kirası,0,21881,Kira
2024-02-18,Mali müşavir ücreti,0,10042,Danışmanlık
2024-02-19,Stopaj vergi ödemesi,0,11293,Vergi
2024-02-21,AWS bulut altyapısı,0,16144,Teknoloji
2024-02-23,SaaS aylık abonelik (Pro paket),14133,0,Satış
2024-02-24,Google Ads kampanya,0,15744,Pazarlama
2024-02-25,TÜBİTAK 1507 hibe taksiti,6169,0,Devlet Desteği
2024-02-28,SaaS aylık abonelik (Pro paket),16776,0,Satış
2024-02-28,Ürün ve tasarım ekibi,0,91579,Maaş
2024-02-29,Yıllık abonelik tahsilatı,19368,0,Satış
2024-02-29,Enterprise lisans satışı,18564,0,Satış
2024-02-29,Pazarlama uzmanı maaşı,0,74986,Maaş
2024-03-02,Kurumsal müşteri ödemesi,10631,0,Satış
2024-03-02,Ürün ve tasarım ekibi,0,93284,Maaş
2024-03-03,Yıllık abonelik tahsilatı,13432,0,Satış
2024-03-04,Mixpanel analytics,0,9033,Teknoloji
2024-03-05,SaaS aylık abonelik (Pro paket),11334,0,Satış
2024-03-05,Stopaj vergi ödemesi,0,14192,Vergi
2024-03-06,Yazılım geliştirici maaşları (x5),0,89358,Maaş
2024-03-06,Hukuk danışmanlık,0,18345,Danışmanlık
2024-03-10,Enterprise lisans satışı,9176,0,Satış
2024-03-10,Enterprise lisans satışı,12173,0,Satış
2024-03-12,Coworking ofis kirası,0,27925,Kira
2024-03-13,Kurumsal müşteri ödemesi,10571,0,Satış
2024-03-14,Content marketing ajans,0,26740,Pazarlama
2024-03-15,AWS bulut altyapısı,0,8517,Teknoloji
2024-03-17,Kurumsal müşteri ödemesi,9028,0,Satış
2024-03-17,Mixpanel analytics,0,10439,Teknoloji
2024-03-18,Ofis elektrik,0,13811,Fatura
2024-03-21,Yıllık abonelik tahsilatı,11356,0,Satış
2024-03-24,KOSGEB Ar-Ge hibe,7975,0,Devlet Desteği
2024-03-27,Pre-seed sermaye girişi,77438,0,Yatırım
2024-03-27,Datadog monitoring,0,8529,Teknoloji
2024-04-01,Pre-seed sermaye girişi,77622,0,Yatırım
2024-04-03,Telefon hatları,0,17866,Fatura
2024-04-08,Stratejik danışmanlık,0,19671,Danışmanlık
2024-04-09,Datadog monitoring,0,20089,Teknoloji
2024-04-13,Yıllık abonelik tahsilatı,9574,0,Satış
2024-04-13,Founder maaşları,0,165585,Maaş
2024-04-14,LinkedIn Ads,0,30116,Pazarlama
2024-04-16,Mixpanel analytics,0,18738,Teknoloji
2024-04-19,API kullanım faturası,9838,0,Satış
2024-04-19,Enterprise lisans satışı,9989,0,Satış
2024-04-20,SaaS aylık abonelik (Pro paket),11240,0,Satış
2024-04-22,Coworking ofis kirası,0,26945,Kira
2024-04-23,Stopaj vergi ödemesi,0,14054,Vergi
2024-04-25,Kurumsal müşteri ödemesi,10256,0,Satış
2024-04-26,Kurumsal müşteri ödemesi,9815,0,Satış
2024-04-26,Yıllık abonelik tahsilatı,11917,0,Satış
2024-04-27,Enterprise lisans satışı,10616,0,Satış
2024-04-27,Kurumsal müşteri ödemesi,8687,0,Satış
2024-05-01,API kullanım faturası,10558,0,Satış
2024-05-03,Kurumsal müşteri ödemesi,11077,0,Satış
2024-05-09,Levent ofis kirası,0,23180,Kira
2024-05-10,Google Ads kampanya,0,27696,Pazarlama
2024-05-12,Enterprise lisans satışı,11082,0,Satış
2024-05-14,Ürün ve tasarım ekibi,0,99883,Maaş
2024-05-17,Yıllık abonelik tahsilatı,12157,0,Satış
2024-05-18,Mixpanel analytics,0,9195,Teknoloji
2024-05-19,Telefon hatları,0,9031,Fatura
2024-05-21,SaaS aylık abonelik (Pro paket),9125,0,Satış
2024-05-21,Ürün ve tasarım ekibi,0,89570,Maaş
2024-05-22,Mixpanel analytics,0,8533,Teknoloji
2024-05-23,OpenAI API kullanımı,0,9224,Teknoloji
2024-05-24,SaaS aylık abonelik (Pro paket),9240,0,Satış
2024-05-24,Yıllık abonelik tahsilatı,11284,0,Satış
2024-05-24,Mixpanel analytics,0,8363,Teknoloji
