tarih,aciklama,gelir,gider,kategori
2024-01-01,Satış komisyon tahsilatı,23497,0,Satış
2024-01-01,İnternet,0,3117,Fatura
2024-01-04,Stopaj,0,8419,Vergi
2024-01-04,Araç yakıt,0,4892,Lojistik
2024-01-05,Yatırımcıya konut tahsis komisyonu,32242,0,Satış
2024-01-07,Instagram reklam,0,7905,Pazarlama
2024-01-10,Yatırımcıya konut tahsis komisyonu,27737,0,Satış
2024-01-11,CRM yazılım abonelik,0,2883,Teknoloji
2024-01-12,Aylık portföy yönetim,33125,0,Satış
2024-01-12,Asistan maaşı,0,46680,Maaş
2024-01-13,Ticari gayrimenkul komisyonu,33329,0,Satış
2024-01-13,Ofis kirası (cadde dükkan),0,27465,Kira
2024-01-16,Değerleme raporu ücreti,13451,0,Diğer Gelir
2024-01-19,Satış komisyon tahsilatı,32587,0,Satış
2024-01-20,Instagram reklam,0,8353,Pazarlama
2024-01-22,Hepsiemlak ilan ücreti,0,8459,Pazarlama
2024-01-26,Telefon,0,3255,Fatura
2024-01-27,Sahibinden.com ilan paketi,0,8446,Pazarlama
2024-02-01,Müşteri ziyaret giderleri,0,6670,Lojistik
2024-02-05,Aylık portföy yönetim,91229,0,Satış
2024-02-09,Emlak danışmanı sabit maaşı,0,62443,Maaş
2024-02-11,Sahibinden.com ilan paketi,0,23174,Pazarlama
2024-02-12,CRM yazılım abonelik,0,2995,Teknoloji
2024-02-16,KDV ödemesi,0,11117,Vergi
2024-02-17,Hepsiemlak ilan ücreti,0,20356,Pazarlama
2024-02-20,Aylık portföy yönetim,104398,0,Satış
2024-02-20,İnternet,0,2850,Fatura
2024-02-21,Elektrik,0,2588,Fatura
2024-02-22,Ofis kirası (cadde dükkan),0,25926,Kira
2024-02-25,İnternet,0,2847,Fatura
2024-03-02,Araç yakıt,0,4798,Lojistik
2024-03-03,Ticari gayrimenkul komisyonu,44372,0,Satış
2024-03-03,Sahibinden.com ilan paketi,0,15313,Pazarlama
2024-03-05,Sahibinden.com ilan paketi,0,13845,Pazarlama
2024-03-08,Yatırımcıya konut tahsis komisyonu,45322,0,Satış
2024-03-11,Emlak danışmanı sabit maaşı,0,36714,Maaş
2024-03-11,CRM yazılım abonelik,0,3699,Teknoloji
2024-03-12,İnternet,0,5672,Fatura
2024-03-14,Instagram reklam,0,14243,Pazarlama
2024-03-14,İnternet,0,5255,Fatura
2024-03-17,Aylık portföy yönetim,41462,0,Satış
2024-03-17,Kiralık komisyon,43953,0,Satış
2024-03-17,Emlak danışmanı sabit maaşı,0,45414,Maaş
2024-03-19,Tapu işlem danışmanlık,24126,0,Diğer Gelir
2024-03-21,Yatırımcıya konut tahsis komisyonu,48663,0,Satış
2024-03-22,Stopaj,0,11928,Vergi
2024-03-23,Müşteri ziyaret giderleri,0,4899,Lojistik
2024-03-26,Kiralık komisyon,45956,0,Satış
2024-03-30,Instagram reklam,0,12736,Pazarlama
2024-03-31,Ofis kirası (cadde dükkan),0,42847,Kira
2024-04-01,Müşteri ziyaret giderleri,0,3704,Lojistik
2024-04-04,Aylık portföy yönetim,161617,0,Satış
2024-04-07,Emlak danışmanı sabit maaşı,0,112462,Maaş
2024-04-08,Ofis kirası (cadde dükkan),0,41224,Kira
2024-04-10,Hepsiemlak ilan ücreti,0,30968,Pazarlama
2024-04-11,Elektrik,0,7563,Fatura
2024-04-12,Değerleme raporu ücreti,28763,0,Diğer Gelir
2024-04-15,Müşteri ziyaret giderleri,0,3119,Lojistik
2024-04-19,CRM yazılım abonelik,0,4985,Teknoloji
2024-04-20,Elektrik,0,7322,Fatura
2024-04-20,Araç yakıt,0,3584,Lojistik
2024-04-21,Stopaj,0,17525,Vergi
2024-04-24,Satış komisyon tahsilatı,198352,0,Satış
2024-04-29,Hepsiemlak ilan ücreti,0,32894,Pazarlama
2024-05-02,Aylık portföy yönetim,72076,0,Satış
2024-05-03,Ticari gayrimenkul komisyonu,77219,0,Satış
2024-05-08,Asistan maaşı,0,60478,Maaş
2024-05-08,Emlak danışmanı sabit maaşı,0,63720,Maaş
2024-05-08,Müşteri ziyaret giderleri,0,3498,Lojistik
2024-05-10,Satış komisyon tahsilatı,69770,0,Satış
2024-05-12,Aylık portföy yönetim,80418,0,Satış
2024-05-13,Müşteri ziyaret giderleri,0,3996,Lojistik
2024-05-15,Instagram reklam,0,22724,Pazarlama
2024-05-15,Telefon,0,6668,Fatura
2024-05-15,KDV ödemesi,0,15353,Vergi
2024-05-16,Ticari gayrimenkul komisyonu,69085,0,Satış
2024-05-18,Instagram reklam,0,21854,Pazarlama
2024-05-18,Elektrik,0,7166,Fatura
2024-05-25,Ofis kirası (cadde dükkan),0,50356,Kira
2024-05-26,Google Ads kampanya,0,20564,Pazarlama
2024-05-28,Araç yakıt,0,4030,Lojistik
2024-05-29,CRM yazılım abonelik,0,5244,Teknoloji
2024-06-05,Satış komisyon tahsilatı,59220,0,Satış
2024-06-05,Emlak danışmanı sabit maaşı,0,48730,Maaş
2024-06-05,Asistan maaşı,0,40959,Maaş
