tarih,aciklama,gelir,gider,kategori
2024-01-01,Bayi sipariş ödemesi,40505,0,Satış
2024-01-02,Meyve ve sebze hammadde,0,42701,Tedarik
2024-01-03,Un ve şeker alımı,0,39283,Tedarik
2024-01-03,Üretim işçileri maaşları,0,52984,Maaş
2024-01-03,Stopaj,0,23954,Vergi
2024-01-05,Zincir market tahsilatı,44669,0,Satış
2024-01-05,Su,0,7514,Fatura
2024-01-06,Makine bakımı,0,14698,Üretim
2024-01-06,Üretim tesisi kirası,0,23109,Kira
2024-01-07,Online satış geliri,37726,0,Satış
2024-01-08,Online satış geliri,50531,0,Satış
2024-01-10,Sterilizasyon,0,14634,Üretim
2024-01-11,Restoran toptan tedarik geliri,41019,0,Satış
2024-01-11,Süt tedariği (çiftlik),0,46997,Tedarik
2024-01-12,Ambalaj malzemesi,0,47380,Tedarik
2024-01-12,Soğuk zincir nakliye,0,15962,Lojistik
2024-01-14,Şehir içi dağıtım yakıt,0,19153,Lojistik
2024-01-15,Un ve şeker alımı,0,39851,Tedarik
2024-01-16,Yerel bakkal toptan satış,50114,0,Satış
2024-01-16,Zincir market tahsilatı,43792,0,Satış
2024-01-16,Lojistik ekibi,0,63421,Maaş
2024-01-19,Restoran toptan tedarik geliri,45955,0,Satış
2024-01-19,Yerel bakkal toptan satış,52721,0,Satış
2024-01-22,Restoran toptan tedarik geliri,40873,0,Satış
2024-01-22,Elektrik (soğutma yüksek),0,8540,Fatura
2024-01-24,Soğutma ünitesi bakımı,0,13994,Üretim
2024-01-27,Sterilizasyon,0,13574,Üretim
2024-01-28,Restoran toptan tedarik geliri,52547,0,Satış
2024-01-28,İhracat tahsilatı,41753,0,Satış
2024-01-28,Meyve ve sebze hammadde,0,40535,Tedarik
2024-01-29,Elektrik (soğutma yüksek),0,9196,Fatura
2024-01-30,Yerel bakkal toptan satış,40169,0,Satış
2024-01-30,Hurda ambalaj satışı,30655,0,Diğer Gelir
2024-02-02,Zincir market tahsilatı,58163,0,Satış
2024-02-03,Restoran toptan tedarik geliri,45373,0,Satış
2024-02-04,Hurda ambalaj satışı,16052,0,Diğer Gelir
2024-02-04,Ambalaj malzemesi,0,32834,Tedarik
2024-02-04,Yağ ve katkı maddesi,0,31590,Tedarik
2024-02-04,Un ve şeker alımı,0,35164,Tedarik
2024-02-04,Ambalaj malzemesi,0,32458,Tedarik
2024-02-05,Online satış geliri,43080,0,Satış
2024-02-05,Sterilizasyon,0,16986,Üretim
2024-02-05,Makine bakımı,0,19214,Üretim
2024-02-06,Restoran toptan tedarik geliri,54366,0,Satış
2024-02-07,Doğal gaz,0,11332,Fatura
2024-02-08,Sterilizasyon,0,18878,Üretim
2024-02-09,İhracat tahsilatı,50526,0,Satış
2024-02-10,İhracat tahsilatı,56995,0,Satış
2024-02-11,Doğal gaz,0,13534,Fatura
2024-02-12,Hurda ambalaj satışı,14902,0,Diğer Gelir
2024-02-12,Un ve şeker alımı,0,29671,Tedarik
2024-02-12,Üretim tesisi kirası,0,21372,Kira
2024-02-15,Online satış geliri,39309,0,Satış
2024-02-16,Soğuk zincir nakliye,0,8386,Lojistik
2024-02-17,Restoran toptan tedarik geliri,47581,0,Satış
2024-02-18,Un ve şeker alımı,0,32296,Tedarik
2024-02-20,Yerel bakkal toptan satış,53246,0,Satış
2024-02-21,Süt tedariği (çiftlik),0,34173,Tedarik
2024-02-22,Kalite kontrol maaşı,0,111063,Maaş
2024-02-22,Soğuk zincir nakliye,0,10254,Lojistik
2024-02-23,Meyve ve sebze hammadde,0,27337,Tedarik
2024-02-24,Restoran toptan tedarik geliri,39708,0,Satış
2024-02-25,Stopaj,0,19252,Vergi
2024-02-26,Şehir içi dağıtım yakıt,0,8318,Lojistik
2024-02-29,Yerel bakkal toptan satış,40656,0,Satış
2024-02-29,Restoran toptan tedarik geliri,47232,0,Satış
2024-02-29,Şehir içi dağıtım yakıt,0,8465,Lojistik
2024-03-01,Online satış geliri,77192,0,Satış
2024-03-01,Şehir içi dağıtım yakıt,0,9931,Lojistik
2024-03-02,Online satış geliri,62751,0,Satış
2024-03-03,Yerel bakkal toptan satış,70137,0,Satış
2024-03-03,Devlet teşvik ödemesi,38443,0,Diğer Gelir
2024-03-04,Ambalaj malzemesi,0,68251,Tedarik
2024-03-05,Üretim tesisi kirası,0,24559,Kira
2024-03-07,Restoran toptan tedarik geliri,71991,0,Satış
2024-03-07,Şehir içi dağıtım yakıt,0,10181,Lojistik
2024-03-08,Bayi sipariş ödemesi,69231,0,Satış
2024-03-08,Ambalaj malzemesi,0,71022,Tedarik
2024-03-08,Soğutma ünitesi bakımı,0,20200,Üretim
2024-03-08,Su,0,9688,Fatura
2024-03-09,Ambalaj malzemesi,0,69605,Tedarik
2024-03-09,Su,0,9184,Fatura
2024-03-12,Restoran toptan tedarik geliri,77625,0,Satış
2024-03-12,İhracat tahsilatı,77930,0,Satış
2024-03-14,Yağ ve katkı maddesi,0,67925,Tedarik
2024-03-16,Online satış geliri,56313,0,Satış
2024-03-18,Kalite kontrol maaşı,0,64744,Maaş
2024-03-21,Kalite kontrol maaşı,0,60098,Maaş
2024-03-22,Soğutma ünitesi bakımı,0,20178,Üretim
2024-03-22,Su,0,9607,Fatura
2024-03-24,Makine bakımı,0,18865,Üretim
2024-03-24,Şehir içi dağıtım yakıt,0,9011,Lojistik
2024-03-25,KDV,0,21221,Vergi
2024-03-28,Soğuk zincir nakliye,0,9862,Lojistik
2024-03-29,Restoran toptan tedarik geliri,80001,0,Satış
2024-04-02,Un ve şeker alımı,0,52945,Tedarik
2024-04-03,Yerel bakkal toptan satış,54576,0,Satış
2024-04-03,Online satış geliri,43339,0,Satış
2024-04-04,Elektrik (soğutma yüksek),0,8936,Fatura
2024-04-05,Sterilizasyon,0,27790,Üretim
2024-04-07,Zincir market tahsilatı,54233,0,Satış
2024-04-07,Meyve ve sebze hammadde,0,52760,Tedarik
2024-04-08,Un ve şeker alımı,0,55810,Tedarik
2024-04-08,Şehir içi dağıtım yakıt,0,13273,Lojistik
2024-04-09,Zincir market tahsilatı,57633,0,Satış
2024-04-10,Online satış geliri,51318,0,Satış
2024-04-10,Yerel bakkal toptan satış,49073,0,Satış
2024-04-12,Yerel bakkal toptan satış,54769,0,Satış
2024-04-16,Süt tedariği (çiftlik),0,49738,Tedarik
2024-04-19,Soğuk zincir nakliye,0,13369,Lojistik
2024-04-21,Yerel bakkal toptan satış,55900,0,Satış
2024-04-21,Üretim tesisi kirası,0,19972,Kira
2024-04-22,Yerel bakkal toptan satış,54750,0,Satış
2024-04-22,Doğal gaz,0,9591,Fatura
2024-04-24,İhracat tahsilatı,48557,0,Satış
2024-04-24,Bayi sipariş ödemesi,47943,0,Satış
2024-04-24,Sterilizasyon,0,22755,Üretim
2024-04-24,Elektrik (soğutma yüksek),0,9462,Fatura
2024-04-25,Ambalaj malzemesi,0,54793,Tedarik
2024-04-26,Online satış geliri,45847,0,Satış
2024-04-26,Stopaj,0,23831,Vergi
2024-04-28,Üretim işçileri maaşları,0,66008,Maaş
2024-04-28,Şehir içi dağıtım yakıt,0,11513,Lojistik
2024-04-30,Kalite kontrol maaşı,0,63779,Maaş
2024-05-03,KDV,0,18619,Vergi
2024-05-04,Elektrik (soğutma yüksek),0,8221,Fatura
2024-05-05,Zincir market tahsilatı,48700,0,Satış
2024-05-05,Meyve ve sebze hammadde,0,53834,Tedarik
2024-05-06,Zincir market tahsilatı,48501,0,Satış
2024-05-07,İhracat tahsilatı,41520,0,Satış
2024-05-09,Soğutma ünitesi bakımı,0,11608,Üretim
2024-05-10,Doğal gaz,0,7469,Fatura
2024-05-12,Zincir market tahsilatı,42434,0,Satış
2024-05-12,Yağ ve katkı maddesi,0,48578,Tedarik
2024-05-12,Şehir içi dağıtım yakıt,0,8242,Lojistik
2024-05-13,Meyve ve sebze hammadde,0,51507,Tedarik
2024-05-14,Makine bakımı,0,14690,Üretim
2024-05-16,Şehir içi dağıtım yakıt,0,8779,Lojistik
2024-05-17,Üretim tesisi kirası,0,20938,Kira
2024-05-18,Online satış geliri,46928,0,Satış
2024-05-18,İhracat tahsilatı,41088,0,Satış
2024-05-18,Zincir market tahsilatı,46757,0,Satış
2024-05-19,İhracat tahsilatı,45856,0,Satış
2024-05-20,Online satış geliri,46013,0,Satış
2024-05-20,Restoran toptan tedarik geliri,50097,0,Satış
2024-05-21,Şehir içi dağıtım yakıt,0,8715,Lojistik
2024-05-22,Zincir market tahsilatı,37937,0,Satış
2024-05-23,Bayi sipariş ödemesi,53890,0,Satış
