tarih,aciklama,gelir,gider,kategori
2024-01-01,Muayene ücreti tahsilatı,27271,0,Satış
2024-01-01,Estetik uygulama tahsilatı,33017,0,Satış
2024-01-01,Sterilizasyon ekipmanı,0,18490,Üretim
2024-01-02,Laboratuvar test geliri,27491,0,Satış
2024-01-03,Doktor maaşları,0,112571,Maaş
2024-01-04,Doğal gaz,0,11057,Fatura
2024-01-06,Estetik uygulama tahsilatı,31754,0,Satış
2024-01-06,Klinik kira ödemesi,0,43439,Kira
2024-01-09,Doktor maaşları,0,109663,Maaş
2024-01-12,Doğal gaz,0,10350,Fatura
2024-01-13,Google Ads sağlık,0,8249,Pazarlama
2024-01-14,Görüntüleme geliri,26282,0,Satış
2024-01-14,Özel sigorta tahsilatı,28322,0,Satış
2024-01-15,Estetik uygulama tahsilatı,25257,0,Satış
2024-01-15,Diş tedavi tahsilatı,27066,0,Satış
2024-01-16,Muayene ücreti tahsilatı,31702,0,Satış
2024-01-16,Stopaj,0,22207,Vergi
2024-01-18,Tedavi paket ödemesi,31764,0,Satış
2024-01-18,Laboratuvar reaktifi,0,37317,Tedarik
2024-01-20,Laboratuvar test geliri,29930,0,Satış
2024-01-20,Sterilizasyon ekipmanı,0,17197,Üretim
2024-01-20,Google Ads sağlık,0,8159,Pazarlama
2024-01-22,Laboratuvar test geliri,24807,0,Satış
2024-01-24,Görüntüleme geliri,35453,0,Satış
2024-01-24,Laboratuvar reaktifi,0,33239,Tedarik
2024-01-26,Görüntüleme geliri,26548,0,Satış
2024-01-26,Tedavi paket ödemesi,26370,0,Satış
2024-01-26,Tedavi paket ödemesi,27007,0,Satış
2024-01-26,Tedavi paket ödemesi,33183,0,Satış
2024-01-26,Su,0,9476,Fatura
2024-01-27,Tıbbi sarf malzeme,0,31417,Tedarik
2024-01-28,Tedavi paket ödemesi,29864,0,Satış
2024-01-29,Tedavi paket ödemesi,31156,0,Satış
2024-01-31,Diş tedavi tahsilatı,35014,0,Satış
2024-02-02,Muayene ücreti tahsilatı,33453,0,Satış
2024-02-05,Su,0,8613,Fatura
2024-02-07,Estetik uygulama tahsilatı,44749,0,Satış
2024-02-07,Sosyal medya tanıtım,0,12133,Pazarlama
2024-02-08,Sağlık raporu ücreti,12920,0,Diğer Gelir
2024-02-08,Laboratuvar reaktifi,0,38152,Tedarik
2024-02-08,Tek kullanımlık ürünler,0,31427,Tedarik
2024-02-08,Klinik sigorta,0,25552,Sigorta
2024-02-09,Muayene ücreti tahsilatı,35671,0,Satış
2024-02-09,Stopaj,0,16704,Vergi
2024-02-10,Muayene ücreti tahsilatı,38645,0,Satış
2024-02-10,Görüntüleme geliri,37767,0,Satış
2024-02-10,Estetik uygulama tahsilatı,39395,0,Satış
2024-02-12,Cihaz bakım ve kalibrasyon,0,10668,Üretim
2024-02-12,Elektrik,0,10132,Fatura
2024-02-13,Diş tedavi tahsilatı,41461,0,Satış
2024-02-14,Tek kullanımlık ürünler,0,34834,Tedarik
2024-02-15,Görüntüleme geliri,32174,0,Satış
2024-02-15,Hemşire ve teknisyen maaşları,0,96943,Maaş
2024-02-15,Cihaz bakım ve kalibrasyon,0,12426,Üretim
2024-02-16,Laboratuvar test geliri,39687,0,Satış
2024-02-16,Diş tedavi tahsilatı,37185,0,Satış
2024-02-18,Görüntüleme geliri,39355,0,Satış
2024-02-19,Hemşire ve teknisyen maaşları,0,107251,Maaş
2024-02-21,Klinik kira ödemesi,0,53649,Kira
2024-02-22,Sterilizasyon ekipmanı,0,12708,Üretim
2024-02-23,Görüntüleme geliri,32304,0,Satış
2024-02-23,Diş tedavi tahsilatı,44681,0,Satış
2024-02-23,Sağlık raporu ücreti,17071,0,Diğer Gelir
2024-02-24,Muayene ücreti tahsilatı,32246,0,Satış
2024-02-24,Doğal gaz,0,8696,Fatura
2024-02-28,Görüntüleme geliri,44824,0,Satış
2024-03-01,Tek kullanımlık ürünler,0,17962,Tedarik
2024-03-02,Diş tedavi tahsilatı,24370,0,Satış
2024-03-03,Laboratuvar test geliri,24666,0,Satış
2024-03-04,Tek kullanımlık ürünler,0,17224,Tedarik
2024-03-04,Klinik kira ödemesi,0,50024,Kira
2024-03-05,Tek kullanımlık ürünler,0,15585,Tedarik
2024-03-07,Laboratuvar test geliri,24887,0,Satış
2024-03-08,Estetik uygulama tahsilatı,23407,0,Satış
2024-03-10,Laboratuvar test geliri,25338,0,Satış
2024-03-10,Muayene ücreti tahsilatı,32537,0,Satış
2024-03-11,Doktor maaşları,0,189283,Maaş
2024-03-12,Tedavi paket ödemesi,29457,0,Satış
2024-03-12,Muayene ücreti tahsilatı,24578,0,Satış
2024-03-12,Muayene ücreti tahsilatı,26093,0,Satış
2024-03-13,Görüntüleme geliri,25207,0,Satış
2024-03-14,Diş tedavi tahsilatı,25154,0,Satış
2024-03-14,Laboratuvar test geliri,23296,0,Satış
2024-03-15,Muayene ücreti tahsilatı,27645,0,Satış
2024-03-15,Özel sigorta tahsilatı,31738,0,Satış
2024-03-15,Elektrik,0,15754,Fatura
2024-03-17,Laboratuvar reaktifi,0,19785,Tedarik
2024-03-18,Tedavi paket ödemesi,21774,0,Satış
2024-03-18,Laboratuvar test geliri,22105,0,Satış
2024-03-19,Diş tedavi tahsilatı,21964,0,Satış
2024-03-20,Laboratuvar test geliri,24658,0,Satış
2024-03-20,Laboratuvar reaktifi,0,20582,Tedarik
2024-03-20,Su,0,15243,Fatura
2024-03-22,Muayene ücreti tahsilatı,22781,0,Satış
2024-03-24,Tedavi paket ödemesi,24090,0,Satış
2024-03-27,Sağlık raporu ücreti,29472,0,Diğer Gelir
2024-03-27,İlaç stoğu,0,17835,Tedarik
2024-03-27,Stopaj,0,20086,Vergi
2024-03-28,Muayene ücreti tahsilatı,21833,0,Satış
2024-03-28,Klinik sigorta,0,27827,Sigorta
2024-03-30,Estetik uygulama tahsilatı,22848,0,Satış
2024-03-31,Cihaz bakım ve kalibrasyon,0,33599,Üretim
2024-04-01,Su,0,11194,Fatura
2024-04-03,Cihaz bakım ve kalibrasyon,0,17072,Üretim
2024-04-05,Diş tedavi tahsilatı,51214,0,Satış
2024-04-05,Tedavi paket ödemesi,54463,0,Satış
2024-04-06,Cihaz bakım ve kalibrasyon,0,22701,Üretim
2024-04-08,Su,0,9965,Fatura
2024-04-09,Diş tedavi tahsilatı,51711,0,Satış
2024-04-10,Tek kullanımlık ürünler,0,19281,Tedarik
2024-04-11,Laboratuvar reaktifi,0,20470,Tedarik
2024-04-12,Estetik uygulama tahsilatı,44866,0,Satış
2024-04-14,Stopaj,0,20830,Vergi
2024-04-16,İlaç stoğu,0,20294,Tedarik
2024-04-17,Özel sigorta tahsilatı,45014,0,Satış
2024-04-17,Klinik kira ödemesi,0,42205,Kira
2024-04-19,Estetik uygulama tahsilatı,44092,0,Satış
2024-04-19,Laboratuvar test geliri,45631,0,Satış
2024-04-19,Tedavi paket ödemesi,51633,0,Satış
2024-04-20,Diş tedavi tahsilatı,40739,0,Satış
2024-04-20,Tedavi paket ödemesi,49268,0,Satış
2024-04-20,Görüntüleme geliri,47113,0,Satış
2024-04-21,Muayene ücreti tahsilatı,48078,0,Satış
2024-04-22,Tıbbi sarf malzeme,0,16750,Tedarik
2024-04-23,İşyeri hekimi geliri,28536,0,Diğer Gelir
2024-04-27,Elektrik,0,10069,Fatura
2024-04-29,Doktor maaşları,0,214172,Maaş
2024-04-29,Tek kullanımlık ürünler,0,17702,Tedarik
2024-04-30,Tedavi paket ödemesi,47713,0,Satış
2024-04-30,Laboratuvar reaktifi,0,17646,Tedarik
2024-05-01,Özel sigorta tahsilatı,42514,0,Satış
2024-05-03,İlaç stoğu,0,19792,Tedarik
2024-05-03,Su,0,12784,Fatura
2024-05-04,Laboratuvar reaktifi,0,20009,Tedarik
2024-05-05,Diş tedavi tahsilatı,44128,0,Satış
2024-05-05,Tedavi paket ödemesi,43143,0,Satış
2024-05-08,Özel sigorta tahsilatı,37823,0,Satış
2024-05-10,Özel sigorta tahsilatı,42513,0,Satış
2024-05-10,İlaç stoğu,0,19394,Tedarik
2024-05-11,Laboratuvar test geliri,31780,0,Satış
2024-05-11,İşyeri hekimi geliri,16014,0,Diğer Gelir
2024-05-11,Tıbbi sarf malzeme,0,18661,Tedarik
2024-05-12,KDV,0,21366,Vergi
2024-05-13,Sosyal medya tanıtım,0,7569,Pazarlama
2024-05-15,Laboratuvar test geliri,41157,0,Satış
2024-05-17,Özel sigorta tahsilatı,44701,0,Satış
2024-05-18,Özel sigorta tahsilatı,30048,0,Satış
2024-05-18,Diş tedavi tahsilatı,31108,0,Satış
